approach,alerts_investigated,laundering_caught,pct_of_all_laundering
Random ordering,0,0.0,0.0
Random ordering,50,0.0,0.0
Random ordering,100,0.0,0.0
Random ordering,150,0.0,0.0
Random ordering,200,0.0,0.0
Random ordering,250,0.0,0.0
Random ordering,300,0.0,0.0
Random ordering,350,0.0,0.0
Random ordering,400,0.0,0.0
Random ordering,450,0.0,0.0
Random ordering,500,1.0,0.035248501938667604
Random ordering,550,1.0,0.035248501938667604
Random ordering,600,1.0,0.035248501938667604
Random ordering,650,1.0,0.035248501938667604
Random ordering,700,3.0,0.10574550581600281
Random ordering,750,3.0,0.10574550581600281
Random ordering,800,3.0,0.10574550581600281
Random ordering,850,3.0,0.10574550581600281
Random ordering,900,3.0,0.10574550581600281
Random ordering,950,3.0,0.10574550581600281
Random ordering,1000,3.0,0.10574550581600281
Random ordering,1050,3.0,0.10574550581600281
Random ordering,1100,3.0,0.10574550581600281
Random ordering,1150,3.0,0.10574550581600281
Random ordering,1200,3.0,0.10574550581600281
Random ordering,1250,3.0,0.10574550581600281
Random ordering,1300,3.0,0.10574550581600281
Random ordering,1350,3.0,0.10574550581600281
Random ordering,1400,3.0,0.10574550581600281
Random ordering,1450,3.0,0.10574550581600281
Random ordering,1500,3.0,0.10574550581600281
Random ordering,1550,3.0,0.10574550581600281
Random ordering,1600,3.0,0.10574550581600281
Random ordering,1650,3.0,0.10574550581600281
Random ordering,1700,3.0,0.10574550581600281
Random ordering,1750,3.0,0.10574550581600281
Random ordering,1800,3.0,0.10574550581600281
Random ordering,1850,3.0,0.10574550581600281
Random ordering,1900,3.0,0.10574550581600281
Random ordering,1950,4.0,0.14099400775467041
Random ordering,2000,4.0,0.14099400775467041
Random ordering,2050,4.0,0.14099400775467041
Random ordering,2100,4.0,0.14099400775467041
Random ordering,2150,4.0,0.14099400775467041
Random ordering,2200,4.0,0.14099400775467041
Random ordering,2250,4.0,0.14099400775467041
Random ordering,2300,4.0,0.14099400775467041
Random ordering,2350,4.0,0.14099400775467041
Random ordering,2400,4.0,0.14099400775467041
Random ordering,2450,4.0,0.14099400775467041
Random ordering,2500,4.0,0.14099400775467041
Random ordering,2550,4.0,0.14099400775467041
Random ordering,2600,4.0,0.14099400775467041
Random ordering,2650,4.0,0.14099400775467041
Random ordering,2700,4.0,0.14099400775467041
Random ordering,2750,4.0,0.14099400775467041
Random ordering,2800,5.0,0.17624250969333805
Random ordering,2850,5.0,0.17624250969333805
Random ordering,2900,5.0,0.17624250969333805
Random ordering,2950,5.0,0.17624250969333805
Random ordering,3000,5.0,0.17624250969333805
Random ordering,3050,5.0,0.17624250969333805
Random ordering,3100,5.0,0.17624250969333805
Random ordering,3150,5.0,0.17624250969333805
Random ordering,3200,5.0,0.17624250969333805
Random ordering,3250,5.0,0.17624250969333805
Random ordering,3300,5.0,0.17624250969333805
Random ordering,3350,5.0,0.17624250969333805
Random ordering,3400,5.0,0.17624250969333805
Random ordering,3450,5.0,0.17624250969333805
Random ordering,3500,5.0,0.17624250969333805
Random ordering,3550,5.0,0.17624250969333805
Random ordering,3600,6.0,0.21149101163200562
Random ordering,3650,6.0,0.21149101163200562
Random ordering,3700,6.0,0.21149101163200562
Random ordering,3750,6.0,0.21149101163200562
Random ordering,3800,6.0,0.21149101163200562
Random ordering,3850,6.0,0.21149101163200562
Random ordering,3900,6.0,0.21149101163200562
Random ordering,3950,6.0,0.21149101163200562
Random ordering,4000,6.0,0.21149101163200562
Random ordering,4050,6.0,0.21149101163200562
Random ordering,4100,6.0,0.21149101163200562
Random ordering,4150,6.0,0.21149101163200562
Random ordering,4200,6.0,0.21149101163200562
Random ordering,4250,6.0,0.21149101163200562
Random ordering,4300,6.0,0.21149101163200562
Random ordering,4350,6.0,0.21149101163200562
Random ordering,4400,6.0,0.21149101163200562
Random ordering,4450,6.0,0.21149101163200562
Random ordering,4500,6.0,0.21149101163200562
Random ordering,4550,6.0,0.21149101163200562
Random ordering,4600,6.0,0.21149101163200562
Random ordering,4650,6.0,0.21149101163200562
Random ordering,4700,6.0,0.21149101163200562
Random ordering,4750,6.0,0.21149101163200562
Random ordering,4800,6.0,0.21149101163200562
Random ordering,4850,6.0,0.21149101163200562
Random ordering,4900,6.0,0.21149101163200562
Random ordering,4950,6.0,0.21149101163200562
Random ordering,5000,6.0,0.21149101163200562
Random ordering,5050,6.0,0.21149101163200562
Random ordering,5100,7.0,0.24673951357067325
Random ordering,5150,7.0,0.24673951357067325
Random ordering,5200,7.0,0.24673951357067325
Random ordering,5250,7.0,0.24673951357067325
Random ordering,5300,7.0,0.24673951357067325
Random ordering,5350,7.0,0.24673951357067325
Random ordering,5400,7.0,0.24673951357067325
Random ordering,5450,7.0,0.24673951357067325
Random ordering,5500,7.0,0.24673951357067325
Random ordering,5550,7.0,0.24673951357067325
Random ordering,5600,7.0,0.24673951357067325
Random ordering,5650,7.0,0.24673951357067325
Random ordering,5700,7.0,0.24673951357067325
Random ordering,5750,7.0,0.24673951357067325
Random ordering,5800,7.0,0.24673951357067325
Random ordering,5850,8.0,0.28198801550934083
Random ordering,5900,8.0,0.28198801550934083
Random ordering,5950,8.0,0.28198801550934083
Random ordering,6000,8.0,0.28198801550934083
Random ordering,6050,8.0,0.28198801550934083
Random ordering,6100,8.0,0.28198801550934083
Random ordering,6150,8.0,0.28198801550934083
Random ordering,6200,8.0,0.28198801550934083
Random ordering,6250,8.0,0.28198801550934083
Random ordering,6300,8.0,0.28198801550934083
Random ordering,6350,8.0,0.28198801550934083
Random ordering,6400,8.0,0.28198801550934083
Random ordering,6450,8.0,0.28198801550934083
Random ordering,6500,8.0,0.28198801550934083
Random ordering,6550,8.0,0.28198801550934083
Random ordering,6600,9.0,0.31723651744800846
Random ordering,6650,9.0,0.31723651744800846
Random ordering,6700,9.0,0.31723651744800846
Random ordering,6750,9.0,0.31723651744800846
Random ordering,6800,9.0,0.31723651744800846
Random ordering,6850,9.0,0.31723651744800846
Random ordering,6900,9.0,0.31723651744800846
Random ordering,6950,9.0,0.31723651744800846
Random ordering,7000,9.0,0.31723651744800846
Random ordering,7050,9.0,0.31723651744800846
Random ordering,7100,9.0,0.31723651744800846
Random ordering,7150,9.0,0.31723651744800846
Random ordering,7200,9.0,0.31723651744800846
Random ordering,7250,9.0,0.31723651744800846
Random ordering,7300,9.0,0.31723651744800846
Random ordering,7350,9.0,0.31723651744800846
Random ordering,7400,9.0,0.31723651744800846
Random ordering,7450,9.0,0.31723651744800846
Random ordering,7500,9.0,0.31723651744800846
Random ordering,7550,9.0,0.31723651744800846
Random ordering,7600,9.0,0.31723651744800846
Random ordering,7650,9.0,0.31723651744800846
Random ordering,7700,9.0,0.31723651744800846
Random ordering,7750,9.0,0.31723651744800846
Random ordering,7800,9.0,0.31723651744800846
Random ordering,7850,9.0,0.31723651744800846
Random ordering,7900,9.0,0.31723651744800846
Random ordering,7950,9.0,0.31723651744800846
Random ordering,8000,9.0,0.31723651744800846
Random ordering,8050,9.0,0.31723651744800846
Random ordering,8100,9.0,0.31723651744800846
Random ordering,8150,9.0,0.31723651744800846
Random ordering,8200,9.0,0.31723651744800846
Random ordering,8250,9.0,0.31723651744800846
Random ordering,8300,9.0,0.31723651744800846
Random ordering,8350,9.0,0.31723651744800846
Random ordering,8400,10.0,0.3524850193866761
Random ordering,8450,10.0,0.3524850193866761
Random ordering,8500,10.0,0.3524850193866761
Random ordering,8550,10.0,0.3524850193866761
Random ordering,8600,10.0,0.3524850193866761
Random ordering,8650,10.0,0.3524850193866761
Random ordering,8700,10.0,0.3524850193866761
Random ordering,8750,10.0,0.3524850193866761
Random ordering,8800,10.0,0.3524850193866761
Random ordering,8850,11.0,0.38773352132534367
Random ordering,8900,11.0,0.38773352132534367
Random ordering,8950,11.0,0.38773352132534367
Random ordering,9000,11.0,0.38773352132534367
Random ordering,9050,11.0,0.38773352132534367
Random ordering,9100,11.0,0.38773352132534367
Random ordering,9150,11.0,0.38773352132534367
Random ordering,9200,11.0,0.38773352132534367
Random ordering,9250,11.0,0.38773352132534367
Random ordering,9300,11.0,0.38773352132534367
Random ordering,9350,11.0,0.38773352132534367
Random ordering,9400,11.0,0.38773352132534367
Random ordering,9450,11.0,0.38773352132534367
Random ordering,9500,11.0,0.38773352132534367
Random ordering,9550,11.0,0.38773352132534367
Random ordering,9600,11.0,0.38773352132534367
Random ordering,9650,11.0,0.38773352132534367
Random ordering,9700,11.0,0.38773352132534367
Random ordering,9750,11.0,0.38773352132534367
Random ordering,9800,11.0,0.38773352132534367
Random ordering,9850,11.0,0.38773352132534367
Random ordering,9900,11.0,0.38773352132534367
Random ordering,9950,11.0,0.38773352132534367
Random ordering,10000,11.0,0.38773352132534367
Random ordering,10050,11.0,0.38773352132534367
Random ordering,10100,11.0,0.38773352132534367
Random ordering,10150,11.0,0.38773352132534367
Random ordering,10200,11.0,0.38773352132534367
Random ordering,10250,11.0,0.38773352132534367
Random ordering,10300,11.0,0.38773352132534367
Random ordering,10350,11.0,0.38773352132534367
